name,rg_label,genome_type,transmission_route,host_range,environmental_stability,treatment_available,infectious_dose,zoonotic
Alphainfluenzavirus influenzae A/Anhui/1/2013(H7N9)-PR8 NIBRG-268,2,,,,,,,
Alphainfluenzavirus influenzae A/Ann Arbor/6/60 cold-adapted (H2N2),2,,,,,,,
Alphainfluenzavirus influenzae A/Astrakhan/3212/2020 (H5N8) IDCDC-RG71A,2,,,,,,,
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PA(I38M),2,,,,,,,
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PA(I38T),2,,,,,,,
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PR8 NYMC X-181,2,,,,,,,
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PR8 NYMC X-181A,2,,,,,,,
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PR8 NYMC X-181B,2,,,,,,,
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PR8 NYMC X179A,2,,,,,,,
Alphainfluenzavirus influenzae A/Chicken/Bangladesh/11rs1984-30/2011(H5N1)-PR8 IDCDC RG36,2,,,,,,,
Alphainfluenzavirus influenzae A/Chicken/Hong Kong/G9/97(H9N2)-PR8 NIBRG-91,2,,,,,,,
Alphainfluenzavirus influenzae A/Chicken/Vietnam/NCVD-03/2008(H5N1)-PR8-IDCDC-25a,2,,,,,,,
Alphainfluenzavirus influenzae A/Egypt/N03072/2010(H5N1)-PR8-IDCDC-29,2,,,,,,,
Alphainfluenzavirus influenzae A/Hong Kong/125/2017(H7N9)-IDCDC-RG56B,2,,,,,,,
Alphainfluenzavirus influenzae A/Hubei/1/2010(H5N1)-PR8-IDCDC-30,2,,,,,,,
Alphainfluenzavirus influenzae A/India/NIV/2006(H5N1)-PR8-IBCDC-RG7,2,,,,,,,
Alphainfluenzavirus influenzae A/Indonesia/5/2005(H5N1)-PR8 IDCDC RG2,2,,,,,,,
Alphainfluenzavirus influenzae A/Mallard/Netherlands/12/2000(H7N1)-PR8 NIBRG-63,2,,,,,,,
Alphainfluenzavirus influenzae A/Mallard/Netherlands/12/2000(H7N3)-PR8 NIBRG-60,2,,,,,,,
Alphainfluenzavirus influenzae A/Mallard/Netherlands/12/2000(H7N7)-IBCDC-1,2,,,,,,,
Alphainfluenzavirus influenzae A/NWS/G70c (H1N9),2,,,,,,,
Alphainfluenzavirus influenzae A/New Jersey/8/1976 H1N1,2,,,,,,,
Alphainfluenzavirus influenzae A/Puerto Rico/8/1934 (H1N1),2,,,,,,,
Alphainfluenzavirus influenzae A/Puerto Rico/8/1934 (H1N1)-NA(Bov),2,,,,,,,
Alphainfluenzavirus influenzae A/Puerto Rico/8/1934(H1N1)-PA(I38T),2,,,,,,,
Alphainfluenzavirus influenzae A/Shanghai/2/2013(H7N9)-PR8 IDCDC-RG32A,2,,,,,,,
Alphainfluenzavirus influenzae A/Shanghai/2/2013(H7N9)-PR8 NIBRG-267,2,,,,,,,
Alphainfluenzavirus influenzae A/Sichuan/26221/2014(H5N6)-PR8 IDCDC RG42A,2,,,,,,,
Alphainfluenzavirus influenzae A/Turkey/1/2005(H5N1)-PR8 NIBRG-23,2,,,,,,,
Alphainfluenzavirus influenzae A/Turkey/Virginia/4529/2002(H7N2)-PR8-IBCDC-5,2,,,,,,,
Alphainfluenzavirus influenzae A/Vietnam/1194/2004(H5N1)-PR8 NIBRG-14,2,,,,,,,
