genome_type_enc,taxonomic_family_enc,is_dna,is_enveloped,is_segmented,is_vector_borne,is_zoonotic,infects_humans,host_breadth,rg_label
3,32,1,0,0,0,0,0,1.0,0
6,47,0,1,0,0,1,0,1.0,2
6,47,0,1,0,0,0,0,1.0,0
6,47,0,1,0,0,0,0,1.0,0
6,47,0,1,0,0,0,0,1.0,2
0,39,1,1,0,0,0,0,1.0,0
0,39,1,1,0,0,1,0,3.0,0
0,39,1,1,0,0,0,0,2.0,0
4,36,0,0,0,0,1,0,3.0,0
4,36,0,0,0,0,1,0,3.0,0
6,47,0,1,0,0,1,0,2.0,0
6,47,0,1,0,0,1,0,25.0,0
0,22,1,1,0,0,1,0,3.0,0
3,12,1,0,0,0,1,0,3.0,0
3,12,1,0,0,0,1,0,3.0,0
6,47,0,1,1,0,1,0,22.0,1
6,47,0,1,1,0,1,0,22.0,1
1,43,0,1,0,0,1,0,3.0,1
