Organism,Risk Group,Agent Type,Alternate Names
Streptomyces bikiniensis,RG1,Bacteria,Actinomyces bikiniensis
Streptomyces roseoviolaceus,RG1,Bacteria,"Streptomyces spitsbergensis,Streptoverticillium roseo,Streptomyces fervens,Streptoverticillium baldacii,Actinomyces biverticillatus,Streptoverticillium biverticillatus,Streptoverticillium fervens,Streptomyces baldaccii,Streptomyces biverticillatus"
Streptomyces bobili,RG1,Bacteria,"Streptomyces galilaeus,Actinomyces bobili"
Streptomyces bottropensis,RG1,Bacteria,"Actinomyces bottropensis,Streptomyces stelliscabiei"
Actinomyces bovis,RG1,Bacteria,
Nocardia brasiliensis,RG2,Bacteria,"Streptothrix brasiliensis,Oospora brasiliensis,Actinomyces brasiliensis"
Streptomyces cacaoi,RG1,Bacteria,"Actinomyces cacaoi,Streptomyces aminophilus"
Streptomyces californicus,RG1,Bacteria,Actinomyces californicus
Streptomyces candidus,RG1,Bacteria,Actinomyces candidus
Schaalia canis,RG1,Bacteria,Actinomyces canis
Nocardia otitidiscaviarum,RG2,Bacteria,"Nocardia caviae,Actinomyces caviae"
Streptomyces cellulosae,RG1,Bacteria,Actinomyces cellulosae
Streptomyces chromofuscus,RG1,Bacteria,Actinomyces chromofuscus
Streptomyces chryseus,RG1,Bacteria,Actinomyces chryseus
Streptomyces cinnabarinus,RG1,Bacteria,Actinomyces cinnabarinus
Streptomyces clavifer,RG1,Bacteria,Actinomyces clavifer
Streptomyces coeruleofuscus,RG1,Bacteria,Actinomyces coeruleofuscus
Streptomyces coeruleorubidus,RG1,Bacteria,Actinomyces coeruleorubidus
Streptomyces coerulescens,RG1,Bacteria,Actinomyces coerulescens
Gleimia coleocanis,RG1,Bacteria,Actinomyces coleocanis
Dermatophilus congolensis,RG2,Bacteria,"Dermatophilus pedis,Nocardia dermatonomus,Tetragenus congolensis,Actinomyces congolensis"
Streptomyces cremeus,RG1,Bacteria,Actinomyces cremeus
Streptomyces mirabilis,RG1,Bacteria,"Actinomyces microflavus,Streptomyces willmorei,Micromonospora microflava,Oospora cretacea,Streptomyces griseus subsp. Alpha,Streptomyces griseus subsp. Cretosus,Streptomyces lipmanii,Actinomyces cretace,Actinomyces willmorei,Actinomyces lipmanii"
Streptomyces cyaneofuscatus,RG1,Bacteria,"Streptomyces cavourensis washingtonensis,Streptomyces cavourensis subsp. washingtonensis,Actinomyces cyaneofuscatus"
Streptomyces cyaneus,RG1,Bacteria,"Streptomyces curacoi,Actinomyces cyaneus"
Streptomyces daghestanicus,RG1,Bacteria,Actinomyces daghestanicus
Actinomyces denticolens,RG1,Bacteria,
Rothia dentocariosa,RG2,Bacteria,"Nocardia dentocariosus,Nocardia salivae,Actinomyces dentocariosus"
Streptomyces diastaticus,RG1,Bacteria,"Streptomyces rutgersensis,Streptomyces gougerotii,Actinomyces diastaticus"
Streptomyces diastatochromogenes,RG1,Bacteria,Actinomyces diastatochromogenes
Bifidobacterium dentium,RG2,Bacteria,Actinomyces eriksonii
Saccharopolyspora erythraea,RG1,Bacteria,"Actinomyces erythreus,Streptomyces erythraeus"
Gleimia europaea,RG2,Bacteria,Actinomyces europaeus
Streptomyces exfoliatus,RG1,Bacteria,"Actinomyces exfoliatus,Streptomyces hydrogenans"
Nocardia farcinica,RG2,Bacteria,"Cladothrix farcinica,Bacillus farcinicus,Actinomyces farcinicus,Streptothrix farcinica,Discomyces farcinicus,Oospora farcinica"
Streptomyces fimbriatus,RG1,Bacteria,Actinomyces fimbriatus
Streptomyces finlayi,RG1,Bacteria,Actinomyces finlayi
Streptomyces flaveolus,RG1,Bacteria,Actinomyces flaveolus
Streptomyces flavidovirens,RG1,Bacteria,Actinomyces flavidovirens
Kitasatospora herbaricolor,RG1,Bacteria,"Streptomyces herbaricolor,Actinomyces flavochromogenes subsp. Heliomycini"
Streptomyces flavofungini,RG1,Bacteria,Actinomyces flavofungini
Streptomyces flavotricini,RG1,Bacteria,Actinomyces flavotricini
Streptomyces flavovirens,RG1,Bacteria,"Streptomyces flavogriseus,Actinomyces flavovirens,Streptomyces nigrifaciens"
Streptomyces fradiae,RG1,Bacteria,"Streptomyces fradii,Streptomyces roseoflavus,Actinomyces fradii"
Streptomyces fumanus,RG1,Bacteria,"Actinomyces fumanus,Actinomyces fumarius"
Schaalia funkei,RG1,Bacteria,Actinomyces funkei
Micromonospora gallica,RG1,Bacteria,Actinomyces gallicus
Streptomyces gelaticus,RG1,Bacteria,Actinomyces gelaticus
Schaalia georgiae,RG1,Bacteria,Actinomyces georgiae
Streptomyces glaucescens,RG1,Bacteria,"Streptomyces pharetrae,Actinomyces glaucescens"
Streptomyces glaucosporus,RG1,Bacteria,Actinomyces glaucosporus
Streptomyces glaucus,RG1,Bacteria,Actinomyces glaucus
Streptomyces globisporus subsp. globisporus,RG1,Bacteria,Actinomyces globisporus subsp. Flaveolus
Streptomyces globosus,RG1,Bacteria,Actinomyces globosus
Streptomyces gobitricini,RG1,Bacteria,Actinomyces gobitricini
Fusobacterium gonidiaformans,RG2,Bacteria,"Fusobacterium gonidoformans,Bacillus gonidiaformans,Sphaerophorus gonidiaformans,Pseudobacterium gonidiaformans,Actinomyces gonidiaformis"
Actinomyces graevenitzii,RG1,Bacteria,
Streptomyces griseoaurantiacus,RG1,Bacteria,Actinomyces griseoaurantiacus
Streptomyces griseoflavus,RG1,Bacteria,Actinomyces griseoflavus
Streptomyces griseoincarnatus,RG1,Bacteria,"Actinomyces griseoincarnatus,Streptomyces erythrogriseus,Streptomyces variabilis"
Streptomyces griseoloalbus,RG1,Bacteria,Actinomyces griseoloalbus
Streptomyces griseomycini,RG1,Bacteria,Actinomyces griseomycini
Streptomyces griseorubiginosus,RG1,Bacteria,"Actinomyces griseorubiginosus,Streptomyces phaeopurpureus"
Streptomyces griseostramineus,RG1,Bacteria,Actinomyces griseostramineus
Streptomyces griseus,RG1,Bacteria,"Actinomyces griseus,Streptomyces baarnensis,Streptomyces fimicarius,Streptomyces erumpens,Streptomyces flavofuscus,Streptomyces acrimycini,Streptomyces argenteolus,Streptomyces setonii,Streptomyces caviscabies"
Streptomyces heliomycini,RG1,Bacteria,Actinomyces halstedii
Streptomyces himastatinicus,RG1,Bacteria,Actinomyces helvaticus
Buchananella hordeovulneris,RG1,Bacteria,Actinomyces hordeovulneris
Actinomyces howellii,RG1,Bacteria,
Cellulomonas humilata,RG1,Bacteria,"Actinomyces humiferus,Cellulomonas humiferus"
Streptomyces decoyicus,RG1,Bacteria,"Actinomyces hygroscopicus,Streptomyces hygroscopicus subsp. decoyicus"
Schaalia hyovaginalis,RG2,Bacteria,Actinomyces hyovaginalis
Streptomyces ipomoeae,RG1,Bacteria,"Oospora intermedia,Actinomyces intermedius"
Streptomyces kanamyceticus,RG1,Bacteria,Actinomyces ipomoea
Streptomyces kashimirensis,RG1,Bacteria,Actinomyces janthinus
Streptomyces lanatus,RG1,Bacteria,Actinomyces kurssanovii
Streptomyces lavendofoliae,RG1,Bacteria,Actinomyces lateritius
Streptomyces lavendulae subsp. lavendulae,RG1,Bacteria,Actinomyces lavendofoliae
Streptomyces lavendulocolor,RG1,Bacteria,Actinomyces lavendulae
Streptomyces lavendulae,RG1,Bacteria,Actinomyces lavendulae grasserius
Streptomyces libani subsp. libani,RG1,Bacteria,Actinomyces lavendulocolor
Streptomyces lomondensis,RG1,Bacteria,Actinomyces litmocidini
Streptomyces lucensis,RG1,Bacteria,Actinomyces longisporus
Streptomyces luteogriseus,RG1,Bacteria,Actinomyces luridus
Streptomyces malaysiensis,RG1,Bacteria,Actinomyces malachitofuscus
Streptomyces mashuensis,RG1,Bacteria,"Streptomyces kishiwadensis,Actinomyces malachitospinus"
Streptomyces melanosporofaciens,RG1,Bacteria,Actinomyces megasporus
Streptomyces misionensis,RG1,Bacteria,Actinomyces mirabilis
Streptobacillus moniliformis,RG2,Bacteria,"Asterococcus muris,Actinomyces muris,Actinomyces muris ratti,Nocardia muris,Proactinomyces muris,Haverhillia moniliformis,Haverhillia multiformis"
Streptomyces naganishii,RG1,Bacteria,Actinomyces mutabilis
Actinomyces naeslundii,RG2,Bacteria,Actinomyces naeslundi
Winkia neuii,RG2,Bacteria,Actinomyces neuii
Winkia neuii subsp. anitrata,RG2,Bacteria,Actinomyces neuii subsp. anitratus
Winkia neuii subsp. neuii,RG2,Bacteria,Actinomyces neuii subsp. neuii
Streptomyces niveoruber,RG1,Bacteria,Actinomyces nigrescens
Schaalia odontolytica,RG2,Bacteria,Actinomyces odontolyticus
Streptomyces olivochromogenes,RG1,Bacteria,"Streptomyces corchorusii,Actinomyces olivaceoviridis"
Streptomyces olivomycini,RG1,Bacteria,Actinomyces olivaceus
Streptomyces orinoci,RG1,Bacteria,Actinomyces olivoviridis
Amycolatopsis orientalis,RG1,Bacteria,"Actinomyces orientalis,Nocardia orientalis,Streptomyces orientalis"
Streptomyces phaeochromogenes,RG1,Bacteria,"Actinomyces parvus,Nocardia parva,Streptomyces ederensi"
Streptomyces prasinosporus,RG1,Bacteria,Actinomyces praecox
Arachnia propionica,RG2,Bacteria,"Propionibacterium propionicum,Actinomyces propionicus,Propionicibacterium propionicus"
Streptomyces pseudoechinosporeus,RG1,Bacteria,Actinomyces prunicolor
Micromonospora purpureochromogenes,RG1,Bacteria,"Actinomyces purpeochromogenus,Micromonospora brunnea"
Actinomyces radicidentis,RG2,Bacteria,
Schaalia radingae,RG2,Bacteria,Actinomyces radingae
Streptomyces regensis,RG1,Bacteria,"Streptoverticillium rectiverticillatum,Actinomyces rectiverticillatus"
Streptomyces resistomycificus,RG1,Bacteria,Actinomyces rectiviolaceus
Streptomyces roseofulvus,RG1,Bacteria,"Actinomyces rochei,Streptomyces parvullus"
Streptomyces tuirus,RG1,Bacteria,"Actinomyces tricolor,Actinomyces roseodiastaticus,Streptomyces roseidiastaticus"
Streptomyces roseolus,RG1,Bacteria,Actinomyces roseofulvus
Streptomyces roseoverticillatus subsp. melrosporus,RG1,Bacteria,Actinomyces roseolus
Streptomyces ruber,RG1,Bacteria,"Chainia rubra,Actinomyces roseoviolaceus"
Streptomyces rubiginosohelvolus,RG1,Bacteria,Actinomyces roseoviridis
Streptomyces rubrogriseus,RG1,Bacteria,Actinomyces rubiginosohelvolus
Streptomyces seoulensis,RG1,Bacteria,"Actinomyces scabies,Streptomyces scabiei"
Actinomyces slackii,RG1,Bacteria,
Streptomyces spororaveus,RG1,Bacteria,Actinomyces sporocinereus
Schaalia suimastitidis,RG1,Bacteria,Actinomyces suimastitidis
Streptomyces tanashiensis,RG1,Bacteria,"Actinomyces sulphureus,Streptothrix sulphurea"
Streptomyces termitum,RG1,Bacteria,Actinomyces tauricus
Streptomyces thermohygroscopicus,,Bacteria,Actinomyces thermodiastaticus
Nocardia transvalensis,RG2,Bacteria,"Actinomyces transvalensis,Proactinomyces transvalensis"
Schaalia turicensis,RG2,Bacteria,Actinomyces turicensis
Streptomyces variegatus,RG1,Bacteria,"Actinomyces umbrinus,Streptomyces flavovariabilis"
Actinomyces urogenitalis,RG1,Bacteria,
Schaalia vaccimaxillae,RG1,Bacteria,Actinomyces vaccimaxillae
Streptomyces varsoviensis,RG1,Bacteria,Actinomyces variabilis
Streptomyces venezuelae,RG1,Bacteria,Actinomyces varsoviensis
Streptomyces violaceorectus,RG1,Bacteria,Actinomyces violaceochromogenes
Streptomyces violaceoruber,RG1,Bacteria,"Streptomyces humiferus,Streptomyces violaceolatus,Streptomyces anthocyanicus,Actinomyces violaceolatus,Streptomyces coelescens,Streptomyces tricolor"
Streptomyces violaceorubidus,RG1,Bacteria,Actinomyces violaceorectus
Streptomyces violarus,RG1,Bacteria,"Cladothrix violacea,Streptomyces violatus,Discomyces violaceus,Streptotrix violacea,Oospora violacea,Actinomyces violaceus,Actinomyces violatus,Nocardia violacea"
Streptomyces violascens,RG1,Bacteria,Actinomyces violaceus-niger
Streptomyces violaceus,RG1,Bacteria,Actinomyces violaceus-ruber
Streptomyces violens,RG1,Bacteria,Actinomyces violarus
Streptomyces virens,RG1,Bacteria,Actinomyces violascens
Streptomyces viridochromogenes,RG1,Bacteria,Actinomyces viridiviolaceus
Streptomyces viridosporus,RG1,Bacteria,"Streptomyces ghanaensis,Actinomyces viridochromogenes"
Actinomyces viscosus,RG2,Bacteria,Odontomyces viscosus
Streptomyces xanthochromogenes,RG1,Bacteria,"Streptomyces michiganensis,Actinomyces wedmorensis"
Streptomyces yerevanensis,RG1,Bacteria,Actinomyces xantholiticus
Streptomyces armeniacus,RG1,Bacteria,Actinoplanes armeniacus
Actinoplanes auranticolor,RG1,Bacteria,Amorphosporangium auranticolor
Actinoplanes awajinensis,RG1,Bacteria,
Couchioplanes caeruleus subsp. azureus,RG1,Bacteria,Actinoplanes azureus
Actinoplanes brasiliensis,RG1,Bacteria,
Couchioplanes caeruleus,RG1,Bacteria,Actinoplanes caeruleus
Couchioplanes caeruleus subsp. caeruleus,RG1,Bacteria,Actinoplanes caeruleus subsp. caeruleus
Actinoplanes campanulatus,RG1,Bacteria,"Ampullaria campanulata,Ampullariella campanulata"
Actinoplanes consettensis,RG1,Bacteria,
Actinoplanes cyaneus,RG1,Bacteria,
Actinoplanes deccanensis,RG1,Bacteria,
Actinoplanes derwentensis,RG1,Bacteria,
Actinoplanes digitatus,RG1,Bacteria,"Actinoplanes digitatis,Ampullariella digitata,Ampullaria digitata"
Actinoplanes durhamensis,RG1,Bacteria,
Actinoplanes globisporus,RG1,Bacteria,Amorphosporangium globisporum
Actinoplanes humidus,RG1,Bacteria,
Actinoplanes ianthinogenes,RG1,Bacteria,
Actinoplanes italicus,RG1,Bacteria,
Actinoplanes lobatus,RG1,Bacteria,Ampullariella lobata
Cryptosporangium minutisporangium,RG1,Bacteria,Actinoplanes minutisporangius
Actinoplanes missouriensis,RG1,Bacteria,
Actinoplanes palleronii,RG1,Bacteria,
Actinoplanes philippinensis,RG1,Bacteria,
Actinoplanes rectilineatus,RG1,Bacteria,
Actinoplanes regularis,RG1,Bacteria,Ampullariella regularis
Actinoplanes utahensis,RG1,Bacteria,
Actinopolymorpha alba,RG1,Bacteria,
Actinopolyspora halophila,RG1,Bacteria,
Saccharomonospora iraqiensis,RG1,Bacteria,Actinopolyspora iraqiensis
Actinopolyspora mortivallis,RG1,Bacteria,
Streptomyces angustmyceticus,RG1,Bacteria,"Actinopycnidium caeruleum,Streptomyces hygroscopicus subsp. angustmyceticus"
Streptomyces parvulus,RG1,Bacteria,Actinosporangium violaceum
Streptomyces werraensis,RG1,Bacteria,Actinosporangium vitaminiphilum
Actinosynnema mirum,RG1,Bacteria,
Actinosynnema pretiosum,RG1,Bacteria,
Actinosynnema pretiosum subsp. auranticum,RG1,Bacteria,
Actinosynnema pretiosum subsp. pretiosum,RG1,Bacteria,
Actinotalea fermentans,RG1,Bacteria,Cellulomonas fermentans
Cheilospirura hamulosa,RG1,Parasite,Acuaria hamulosa
Aparavirus apisacutum,RG2,Virus,Acute bee paralysis virus
Ephemerovirus adelaide,RG2,Virus,"Adelaide River ephemerovirus,Adelaide River virus"
Dependoparvovirus primate1,RG1,Virus,"adeno-associated virus (AAV) 1 ? 4 and 6 ? 13,Adeno-associated dependoparvovirus A"
Dependoparvovirus primate1 encoding antisense RNA to DMPK transgene,RG2,Virus,Adeno-Associated dependoparvovirus A encoding antisense RNA to DMPK transgene
Dependoparvovirus primate1 encoding Human Tau gene insert (Tau E14 P301),RG2,Virus,Adeno-Associated dependoparvovirus A encoding Human Tau gene insert (Tau E14 P301)
Adeno-associated virus rh.10,RG1,Virus,
Adlercreutzia equolifaciens,RG1,Bacteria,
Adlercreutzia mucosicola,RG1,Bacteria,Enterorhabdus mucosicola
Adlercreutzia muris,RG1,Bacteria,Enterorhabdus muris
Alphabaculovirus adhonmai,RG1,Virus,Adoxophyes honmai nucleopolyhedrovirus
Betabaculovirus adoranae,RG1,Virus,Adoxophyes orana granulovirus
Aedes flavivirus,RG1,Virus,
Aelurostrongylus abstrusus,RG1,Parasite,Cat lungworm
Aeribacillus pallidus,RG1,Bacteria,"Geobacillus pallidus,Bacillus pallidus"
Lysinibacillus fusiformis,RG1,Bacteria,"Aerobacillus fusiformis,Bacillus fusiformis,Bacillus sphaericus subsp. fusiformis"
Paenibacillus macerans,RG1,Bacteria,"Aerobacillus macerans,Zymobacillus macerans,Bacillus macerans"
Paenibacillus polymyxa,RG1,Bacteria,"Bacillus polymyxa,Aerobacillus polymyxa,Granulobacter polymyxa,Clostridium polymyxa"
Enterobacter cloacae,RG2,Bacteria,"Aerobacter cloacae,Bacterium cloacae,Cloaca cloacae,Bacillus cloacae"
Serratia liquefaciens,RG2,Bacteria,Aerobacter liquefaciens
Aerococcus christensenii,RG2,Bacteria,
Aerococcus sanguinicola,RG2,Bacteria,Aerococcus sanguicola
Aerococcus urinae,RG2,Bacteria,
Aerococcus urinaeequi,RG1,Bacteria,Pediococcus urinaeequi
Aerococcus urinaehominis,RG1,Bacteria,
Aerococcus viridans,RG2,Bacteria,"Pediococcus homari,Gaffkya homari"
Aerolysin,Unregulated Toxins,Toxin,
Aeromicrobium erythreum,RG1,Bacteria,
Aeromicrobium fastidiosum,RG1,Bacteria,"Nocardioides fastidiosus,Nocardioides fastidiosa"
Aeromonas allosaccharophila,RG1,Bacteria,
Aeromonas dhakensis,RG1,Bacteria,"Aeromonas hydrophila subsp. dhakensis,Aeromonas aquariorum"
Aeromonas bestiarum,RG1,Bacteria,Aeromonas hydrophila genomospecies 2
Aeromonas caviae,RG2,Bacteria,"Bacillus punctatus,Aeromonas hydrophila subsp. anaerogenes,Pseudomonas caviae,Aeromonas punctata,Aeromonas punctata subsp. caviae"
Aeromonas veronii,,Bacteria,"Aeromonas culicicola,Aeromonas ichthiosmia"
Aeromonas hydrophila,RG2,Bacteria,"Bacillus hydrophilus,Aeromonas dourgesi,Pseudomonas hydrophila,Aeromonas liquefaciens,Bacillus hydrophilus fuscus,Bacterium hydrophilum,Proteus hydrophilus,Proteus ichthyosmius"
Aeromonas encheleia,RG1,Bacteria,
Aeromonas enteropelogenes,RG1,Bacteria,"Aeromonas tructi,Aeromonas trota"
Aeromonas eucrenophila,RG1,Bacteria,
Aeromonas heat-labile cytotonic enterotoxin,Unregulated Toxins,Toxin,
Aeromonas heat-stable cytotonic enterotoxin,Unregulated Toxins,Toxin,
Aeromonas hydrophila hemolysin 1,Unregulated Toxins,Toxin,
Aeromonas hydrophila subsp. hydrophila,RG2,Bacteria,
Vibrio proteolyticus,RG1,Bacteria,"Aeromonas proteolytica,Aeromonas hydrophila subsp. proteolytica"
Aeromonas hydrophila subsp. ranae,RG1,Bacteria,
Aeromonas invasins,Unregulated Toxins,Toxin,
Aeromonas jandaei,RG2,Bacteria,
Aeromonas media,RG1,Bacteria,
Aeromonas popoffii,RG1,Bacteria,
Aeromonas punctata subsp. punctata,RG2,Bacteria,
Aeromonas salmonicida,RG1,Bacteria,Bacterium salmonicida
Aeromonas salmonicida subsp. achromogenes,RG1,Bacteria,Necromonas achromogenes
Aeromonas salmonicida subsp. masoucida,RG1,Bacteria,
Aeromonas salmonicida subsp. nova,RG1,Bacteria,
Aeromonas salmonicida subsp. pectinolytica,RG1,Bacteria,
Aeromonas salmonicida subsp. salmonicida,RG1,Bacteria,
Aeromonas salmonicida subsp. smithia,RG1,Bacteria,
Aeromonas schubertii,RG1,Bacteria,
Plesiomonas shigelloides,RG2,Bacteria,"Fergusonia shigelloides,Pseudomonas shigelloides,Aeromonas shigelloides"
Aeromonas sobria,RG2,Bacteria,
Aeromonas veronii biovar sobria,RG2,Bacteria,
Aeromonas veronii biovar veronii,RG2,Bacteria,
Aeropyrum pernix,RG1,Bacteria,
Thermanaerovibrio acidaminovorans,RG1,Bacteria,Aerothermobacter marianas
Afifella marina,RG1,Bacteria,"Rhodobium marinum,Rhodopseudomonas marina"
Afipia birgiae,RG2,Bacteria,
Afipia broomeae,RG1,Bacteria,
Afipia carboxidovorans,RG1,Bacteria,"Pseudomonas carboxydovorans,Oligotropha carboxidovorans"
Afipia clevelandensis,RG1,Bacteria,
Afipia felis,RG2,Bacteria,
Afipia massiliensis,RG2,Bacteria,
Aflatoxin B1,,Toxin,
Loa loa,RG2,Parasite,African eye worm
Orbivirus alphaequi,RG1,Virus,African horse sickness virus
"Orbivirus alphaequi experimentally neuroadapted strains, serotypes 1 and 6",RG2,Virus,"African horse sickness virus experimentally neuroadapted strains, serotypes 1 and 6"
Asfivirus haemorrhagiae (African swine fever virus),RG1,Virus,African swine fever virus
Zoogloea resiniphila,RG1,Bacteria,"Cellulophaga uliginosa,Agarbacterium uliginosum,Flavobacterium uliginosum,Cytophaga uliginosa"
Trametes versicolor,RG1,Fungus,"Microporus versicolor,Polyporus versicolor,Hansenia versicolor,Agarico-suber versicol,Boletus versicolor,Poria versicolor,Coriolus versicolor,Agaricus versicolor,Polystictus versicolor,Sistotrema versicolor,Ochroporus versicolor,Bjerkandera versicolor"
Tricholoma scalpturatum,RG1,Fungus,"Tricholoma scalpturatum f. meleagroides,Tricholoma scalpturatum var. genevense,Gyrophila argyracea var. chrysites,Tricholoma scalpturatum var. atrocinctum,Agaricus scalpturatus,Tricholoma scalpturatum f. album,Tricholoma argyraceum subsp. chrysites,Agaricus argyraceus var. chrysites,Agaricus chrysites,Tricholoma scalpturatum var. nanospora"
Agaricus bisporus,RG1,Fungus,
Agaricus blazei,,Fungus,
Coprinopsis cinerea,RG1,Fungus,"Coprinus cinereus,Coprinus fimetarius var. cinereus,Agaricus cinereus,Agaricus radians"
Suillus granulatus,RG1,Fungus,"Boletus lactifluus,Ixocomus granulatus,Boletus circinans var. lactifluus,Suillus granulatus var. granulatus,Viscipellis granulata,Agaricus granulatus,Rostkovites granulatus,Suillus lactifluus,Boletus granulatus"
Agaricus longicaudus,RG1,Fungus,Hebeloma longicaudum
Pleurotus ostreatus,RG1,Fungus,"Crepidopus ostreatus,Dendrosarcus ostreatus,Agaricus ostreatus"
Panellus stipticus,RG1,Fungus,"Panus stipticus,Agaricus stipticus,Panellus stypticus"
Gloeophyllum trabeum,,Fungus,"Agaricus trabeus,Phaeocoriolellus trabeus,Coriolopsis trabea,Daedalea quercina subsp. trabea,Daedalea trabea,Trametes trabea,Lenzites trabeus,Cellularia trabea"
Agathobacter rectalis,RG1,Bacteria,"Bacteroides rectalis,Eubacterium rectale,Roseburia rectale,Pseudobacterium rectale"
Agathobaculum desmolans,RG1,Bacteria,"Butyricicoccus desmolans,Eubacterium desmolans"
